광역시도,시군구,주소,지점명,경도,위도
서울,서대문구,서울 서대문구 거북골로 53 (남가좌동) ,명지대,126.9223494,37.5782996
서울,서대문구,서울 서대문구 신촌로 79 (창천동) ,신촌역,126.9352082,37.5560019
서울,서초구,"서울 서초구 방배천로 11 (방배동, SK리더스뷰) ",사당역,126.9822747,37.4777308
서울,서초구,서울 서초구 동작대로 114 (방배동) (재)원불교 유문빌딩 1층,이수역,126.9827042,37.4868002
서울,서초구,서울 서초구 서초대로77길 15 (서초동) 6, 강남역,127.0260957,37.4989483
서울,서초구,서울 서초구 남부순환로350길 4 (양재동) ,양재동,127.0352051,37.4843523
서울,서초구,서울 서초구 사임당로 171 (서초동) EWR빌딩 1층,서초우성,127.0283705,37.4927289
서울,서초구,서울 서초구 효령로 283 (서초동) ,서초동,127.0150234,37.4850618
서울,서초구,서울 서초구 서초중앙로 138 (서초동) ,교대역,127.0139865,37.4942515
서울,서초구,서울 서초구 신반포로 189 (잠원동) 반포쇼핑타운 4동 1층,강남고속터미널,127.0048933,37.5065445
서울,성동구,서울 성동구 왕십리광장로 17 (행당동) 왕십리민자역사 지상1층 C-02호,왕십리역사,127.0384812,37.5614086
서울,성북구,서울 성북구 개운사길 5 (안암동5가) ,고대안암,127.0291686,37.5866342
서울,성북구,서울 성북구 동소문로20나길 18 (동선동1가) ,돈암동,127.0176612,37.5921255
서울,송파구,서울 송파구 올림픽로 240 (잠실동) 롯데월드 매직아일랜드,롯데월드,127.0981638,37.5110794
서울,송파구,서울 송파구 올림픽로 25 (잠실동) 종합운동장 잠실야구장 내,잠실야구장,127.0736261,37.5148022
서울,송파구,서울 송파구 백제고분로 159 (잠실동) ,잠실,127.0846691,37.5055439
서울,송파구,서울 송파구 백제고분로 364 (석촌동) 대준빌딩 1 층,석촌역,127.1068556,37.5046049
서울,송파구,서울 송파구 오금로 404 (가락동) ,개롱역,127.1351390,37.4975970
서울,양천구,서울 양천구 중앙로 277 (신정동) ,신정네거리역,126.8522656,37.5209235
서울,영등포구,서울 영등포구 양평로 46 (당산동6가) ,당산역,126.9016531,37.5344673
서울,영등포구,서울 영등포구 경인로 846 (영등포동) 영등포역사3층,영등포역,126.9076660,37.5156680
서울,영등포구,서울 영등포구 국회대로70길 15-1 (여의도동) 극동VIP빌딩 1층,여의도,126.9204076,37.5296714
서울,영등포구,서울 영등포구 의사당대로1길 25 (여의도동) ,동여의도,126.9298331,37.5200666
서울,용산구,서울 용산구 한강대로 297 (갈월동) ,숙대입구,126.9716850,37.5447663
서울,용산구,서울 용산구 대사관로 62 (한남동) ,한남순천향,127.0049784,37.5332157
서울,용산구,서울 용산구 한강대로23길 55 (한강로3가) 아이파크몰 6층,용산아이파크몰,126.9647415,37.5297718
서울,은평구,서울 은평구 은평로 127 (응암동) ,응암,126.9219821,37.6006381
서울,은평구,서울 은평구 연서로 226-1 (대조동) ,연신내역,126.9205529,37.6184442
서울,은평구,서울 은평구 통일로 750 (불광동) ,불광역,126.9286789,37.6123464
서울,종로구,서울 종로구 청계천로 35 (서린동) 관정빌딩 1층,청계천,126.9813949,37.5693421
서울,종로구,서울 종로구 종로 294 (창신동) ,동대문,127.0107296,37.5712691
서울,종로구,서울 종로구 대학로 120 (동숭동) ,대학로,127.0023149,37.5818891
서울,종로구,서울 종로구 세종대로23길 7 (세종로) ,광화문,126.9759492,37.5715449
서울,중구,서울 중구 퇴계로 213 (충무로4가) ,충무로역,126.9955133,37.5619014
서울,중랑구,"서울 중랑구 공릉로 8 (묵동, 대길빌딩) ",먹골역,127.0780909,37.6115688
서울,중랑구,서울 중랑구 사가정로 389 (면목동) 1층,사가정,127.0880541,37.5809480
서울,중랑구,서울 중랑구 망우로 410 (망우동) ,망우동,127.0976241,37.5989801
부산,금정구,부산 금정구 중앙대로 1824 (구서동) ,부산구서DT,129.0928790,35.2472789
부산,남구,부산 남구 수영로 324 (대연동) 리마크빌대연 주상복합 1층,경성대부경대,129.1015514,35.1374999
부산,부산진구,부산 부산진구 동천로 4 (전포동) 지오플레이스1층,부산지오21,129.0639774,35.1494322
부산,부산진구,부산 부산진구 중앙대로 681-1 (부전동) ,부산서면,129.0588450,35.1536048
부산,북구,부산 북구 만덕대로16번길 19 (덕천동) ,덕천역,129.0073609,35.2096925
부산,사상구,부산 사상구 사상로 200 (괘법동) ,사상역,128.9846023,35.1629712
부산,사하구,부산 사하구 낙동남로 1403 (하단동) 1층,하단역,128.9652071,35.1066038
부산,수영구,"부산 수영구 수영로 700 (광안동, 베스테이 센트럴뷰) ",수영역,129.1161263,35.1673550
부산,연제구,부산 연제구 연수로 89 (연산동) 연제이마트 1층 푸드코트,연제이마트,129.0813506,35.1761180
부산,해운대구,부산 해운대구 세실로 86 (좌동) ,부산장산역,129.1765516,35.1723113
대구,달서구,대구 달서구 달구벌대로 1393 (용산동) ,대구용산DT,128.5202036,35.8507926
대구,달서구,대구 달서구 월배로 227 (상인동) ,상인네거리,128.5379967,35.8194807
대구,북구,대구 북구 학정로 439 (동천동) ,칠곡3지구,128.5633492,35.9438760
대구,북구,대구 북구 침산로 144 (침산동) ,침산네거리,128.5914876,35.8892077
대구,서구,대구 서구 달구벌대로 1689 (내당동) ,내당동,128.5501843,35.8555130
대구,수성구,대구 수성구 동대구로 311 (범어동) 범어애플타워 1층,범어네거리,128.6252464,35.8581272
대구,수성구,대구 수성구 달구벌대로 3197 (매호동) ,대구시지,128.7065360,35.8408311
대구,수성구,대구 수성구 동대구로 155 (황금동) ,황금동,128.6237914,35.8442117
대구,중구,대구 중구 국채보상로 608 (문화동) ,대구문화동,128.5971148,35.8704113
인천,계양구,인천 계양구 계양대로 214 (계산동) 에이스타운 1층,계산동,126.7230321,37.5430595
인천,남동구,인천 남동구 논고개로 61 (논현동) ,인천논현,126.7275277,37.3975366
인천,남동구,"인천 남동구 남동대로 784 (구월동) 1,2층",인천구월,126.7083384,37.4522536
인천,남동구,인천 남동구 경원대로 971 (간석동) 홈플러스 2층,간석HP,126.6891014,37.4695704
인천,부평구,인천 부평구 광장로 16 (부평동) 지하,부평역,126.7233507,37.4895676
인천,서구,인천 서구 완정로 172 (마전동) ,검단역,126.6574368,37.6026027
인천,서구,인천 서구 중봉대로586번길 19 (연희동) ,인천청라,126.6520565,37.5321102
인천,연수구,인천 연수구 해돋이로 168-2 (송도동) ,인천송도,126.6456509,37.3950206
인천,연수구,인천 연수구 청능대로 210 (동춘동) SQUARE 1 외부광장동 1층,인천스퀘어원,126.6836221,37.4059982
인천,중구,인천 중구 공항로 271 (운서동) 지하 1F T2-02,인천공항교통센터,126.4523468,37.4476110
인천,중구,인천 중구 인중로 134 (신생동)  동인천이마트 1층 푸드코트 內,동인천이마트,126.6291854,37.4665194
인천,미추홀구,인천 미추홀구 인하로77번길 8 (용현동) 1층,인하대,126.6572707,37.4514563
광주,광산구,광주 광산구 장신로 136 (수완동) ,광주수완,126.8250406,35.1904041
광주,동구,광주 동구 충장로안길 38 (황금동) ,광주충장로,126.9170087,35.1470806
광주,북구,광주 북구 설죽로 270 (용봉동) ,광주용봉DT,126.8990590,35.1836044
광주,서구,광주 서구 무진대로 904 (광천동) ,광주터미널유스퀘어,126.8798482,35.1606026
대전,서구,대전 서구 둔산로 18 (둔산동) ,대전타임월드,127.3757149,36.3518864
대전,서구,대전 서구 둔산로 121 (둔산동) 1층,대전시청역,127.3874124,36.3515145
대전,유성구,대전 유성구 대학로 3 (봉명동) ,유성온천,127.3412765,36.3542858
대전,유성구,대전 유성구 은구비남로33번길 46 (지족동) 1층,노은역,127.3195229,36.3742362
대전,중구,대전 중구 대종로488번길 54 (은행동) ,은행동1,127.4290906,36.3290547
울산,남구,울산 남구 삼산중로 71 (달동) ,울산현대,129.3351192,35.5399079
울산,동구,울산 동구 방어진순환도로 909 (서부동) ,울산명덕,129.4324462,35.5223410
세종특별자치시,금송로,세종특별자치시 금송로 687 (가람동) ,세종이마트,127.2509531,36.4709135
강원,속초시,강원 속초시 동해대로 4096 (조양동) 788-23,속초DI,128.5866354,38.1898387
강원,원주시,강원 원주시 북원로 2266 (단계동) KFC원주단계DT,원주단계DT,127.9344065,37.3480125
강원,춘천시,강원 춘천시 경춘로 2341 (온의동) 이마트 춘천점 1층 푸드코트 內,춘천이마트,127.7172771,37.8639639
강원,춘천시,강원 춘천시 영서로 2027 (석사동) ,춘천석사,127.7453529,37.8526225
경기,고양시,경기 고양시 덕양구 충장로 8 (행신동) ,행신역,126.8345011,37.6135261
경기,고양시,경기 고양시 덕양구 화신로272번길 57 (화정동) ,화정,126.8314869,37.6335151
경기,고양시,경기 고양시 일산동구 중앙로 1193 (장항동) ,마두역,126.7766055,37.6530985
경기,고양시,경기 고양시 일산서구 중앙로 1419 (주엽동) ,주엽점,126.7622954,37.6693196
경기,고양시,경기 고양시 일산서구 일산로 577 (일산동) 문화촌상가 1층,일산후곡,126.7641226,37.6790046
경기,광명시,경기 광명시 철산로 25 (철산동) 한영빌딩,철산역,126.8687009,37.4766928
경기,광명시,경기 광명시 하안로 289 (하안동) ,하안동,126.8801845,37.4617084
경기,구리시,경기 구리시 경춘로 221 (인창동) ,구리돌다리,127.1398671,37.6007741
경기,군포시,경기 군포시 산본로323번길 16-14 (산본동) 2층,산본역,126.9320481,37.3596767
경기,군포시,경기 군포시 고산로 681 (산본동) ,군포산본,126.9341992,37.3712332
경기,김포시,경기 김포시 김포한강7로 93 (구래동) ,김포한강,126.6278048,37.6457072
경기,김포시,경기 김포시 돌문로 43 (사우동) 1층,김포,126.7178130,37.6188812
경기,남양주시,경기 남양주시 진접읍 해밀예당1로 28 ,진접,127.1861806,37.7112584
경기,남양주시,경기 남양주시 와부읍 덕소로97번길 3 ,덕소,127.2126421,37.5859997
경기,부천시,경기 부천시 부천로 1 (심곡본동) 지하1층,부천역,126.7826496,37.4840369
경기,부천시,경기 부천시 중동로254번길 95 (중동) ,부천중동,126.7741120,37.5019519
경기,부천시,경기 부천시 조마루로 2 (상동) ,웅진플레이도시,126.7442354,37.4999701
경기,부천시,경기 부천시 길주로 118 (상동) 삼성홈플러스1층 (상동),부천상동HP,126.7550758,37.5043305
경기,성남시,경기 성남시 분당구 느티로 27 (정자동) ,정자역,127.1075046,37.3687953
경기,성남시,경기 성남시 분당구 성남대로916번길 7 (야탑동) ,야탑역,127.1298581,37.4111576
경기,성남시,경기 성남시 분당구 분당로53번길 19 (서현동) ,서현역,127.1221786,37.3845216
경기,성남시,경기 성남시 분당구 정자로 88 (정자동) 성심빌딩 1층,분당정자,127.1144393,37.3631684
경기,성남시,경기 성남시 분당구 성남대로 151 (구미동) 엠코헤리츠1층,미금역,127.1083133,37.3493317
경기,성남시,경기 성남시 수정구 위례광장로 104 (창곡동) ,위례중앙,127.1412642,37.4730526
경기,성남시,경기 성남시 수정구 수정로 185 (태평동) 1층,성남태평,127.1404742,37.4437912
경기,수원시,경기 수원시 영통구 청명남로 40 (영통동) 영통시네마 1층,영통씨네마,127.0762985,37.2529355
경기,수원시,경기 수원시 팔달구 향교로 5 (매산로1가) 2층,수원역광장,127.0018490,37.2677797
경기,수원시,경기 수원시 팔달구 아주로 37 (우만동) 아록빌딩 1층,아주대,127.0435523,37.2782296
경기,수원시,경기 수원시 팔달구 인계로 98 (인계동) ,수원인계DT,127.0281421,37.2679029
경기,수원시,경기 수원시 팔달구 덕영대로 924 (매산로1가) AK프라자 3층,수원역사1,127.0000960,37.2656769
경기,안산시,경기 안산시 단원구 달미로 64 (선부동) ,안산선부,126.8154973,37.3414187
경기,안산시,경기 안산시 단원구 고잔1길 16 (고잔동) ,안산중앙,126.8352012,37.3179390
경기,안성시,경기 안성시 중앙로 395 (대천동) ,안성중앙로,127.2707655,37.0075187
경기,안양시,경기 안양시 동안구 평촌대로 135 (호계동) ,안양호계,126.9590926,37.3840862
경기,안양시,경기 안양시 동안구 관악대로 302 (관양동) ,관양1,126.9565216,37.4025901
경기,안양시,경기 안양시 만안구 장내로149번길 51 (안양동) ,안양일번가,126.9222383,37.4002492
경기,오산시,경기 오산시 경기대로 136 (원동) ,오산DT,127.0735162,37.1367428
경기,용인시,경기 용인시 기흥구 죽전로 52 (보정동) ,용인보정,127.1146708,37.3202975
경기,용인시,경기 용인시 수지구 풍덕천로 118 (풍덕천동) 초석프라자 1F,용인수지,127.0951604,37.3224510
경기,용인시,경기 용인시 수지구 만현로 102 (상현동) ,용인상현,127.0845991,37.3073129
경기,용인시,경기 용인시 처인구 포곡읍 에버랜드로 199 에버랜드리조트 內 버거카페 스타라이트,용인에버랜드,127.2013221,37.2933272
경기,의정부시,경기 의정부시 시민로 80 (의정부동) 센트럴타워빌딩 1층(의정부동),의정부엔터,127.0438700,37.7381114
경기,의정부시,경기 의정부시 청사로 38 (금오동) 홈플러스,의정부HP,127.0709831,37.7521086
경기,파주시,경기 파주시 번영로 1-1 (금촌동) ,파주금촌,126.7730259,37.7575563
경기,파주시,경기 파주시 문산읍 문향로 71 ,파주문산,126.7851674,37.8583454
경기,파주시,경기 파주시 와석순환로 286 (목동동) ,파주운정DI,126.7384143,37.7226911
경기,파주시,경기 파주시 경의로 1074 (야당동) ,야당역,126.7599678,37.7131738
경기,평택시,경기 평택시 평택1로 13 (평택동) ,평택,127.0868526,36.9932824
경기,포천시,경기 포천시 내촌면 금강로2536번길 27 푸드코트,베어스타운,127.2496780,37.7975900
경기,하남시,경기 하남시 미사강변동로 95 (망월동) ,미사역,127.1917417,37.5637312
경기,하남시,경기 하남시 대청로 26 (신장동) ,하남시청,127.2150932,37.5404395
경기,화성시,경기 화성시 동탄지성로 11 (반송동) ,동탄,127.0728023,37.2044938
경남,창원시,경남 창원시 성산구 원이대로 658 (상남동) 상남프라자1층 (상남동),창원상남동,128.6853827,35.2241078
경남,창원시,경남 창원시 의창구 원이대로 320 (대원동) 시티세븐몰 1층 101호,창원더시티세븐,0,0
경북,경산시,경북 경산시 대학로 292 (대동) 영남대학교 국제교류센터 102호,영남대,128.7543569,35.8367415
경북,구미시,경북 구미시 산호대로29길 20-7 (옥계동) ,구미옥계,128.4208364,36.1381742
경북,포항시,경북 포항시 남구 중흥로 99 (상도동) ,포항터미널,129.3506507,36.0141559
경북,포항시,경북 포항시 북구 새천년대로 1365 (장성동) KFC포항양덕DT,포항양덕DT,129.3963430,36.0766386
전북,전주시,전북 전주시 완산구 효자로 194 (효자동3가) 로자벨시티 106호,전북도청,127.1064723,35.8186420
제주특별자치도,제주시,제주특별자치도 제주시 중앙로 291 (이도이동) ,제주시청,126.5341237,33.4947667
제주특별자치도,서귀포시,제주특별자치도 서귀포시 일주동로 8668 (동홍동) ,제주서귀포DI점,126.5621372,33.2537219
제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로 90 (색달동) ,서귀포중문DT,126.4141365,33.2502782
충남,당진시,충남 당진시 당진중앙2로 101 (읍내동) 1층,당진,126.6301691,36.8941307
충남,아산시,충남 아산시 번영로 223 (모종동) 아산고속터미널 1층 102~104호,아산터미널,127.0152216,36.7848546
충남,천안시,충남 천안시 동남구 만남로 43 (신부동) 터미널(승차장) 내,천안터미널,127.1563472,36.8205130
충남,천안시,충남 천안시 서북구 충무로 205 (쌍용동) ,천안쌍용,127.1288032,36.7966603
충북,청주시,충북 청주시 흥덕구 풍산로 15 (가경동) 메가폴리스 1층,청주메가폴리스,127.4319939,36.6267841
충북,청주시,충북 청주시 서원구 1순환로 664 (사창동) ,청주사창사거리,127.4600583,36.6343275
충북,청주시,충북 청주시 서원구 수영로7번길 7 (수곡동) ,청주수곡DT,127.4864413,36.6155631
충북,청주시,충북 청주시 흥덕구 풍산로 15 (가경동) 메가폴리스 1층,청주메가폴리스,127.4319939,36.6267841
충북,청주시,충북 청주시 서원구 1순환로 664 (사창동) ,청주사창사거리,127.4600583,36.6343275
충북,청주시,충북 청주시 서원구 수영로7번길 7 (수곡동) ,청주수곡DT,127.4864413,36.6155631
